symbol,name,tdx_api_mkt,code
SZ002424,贵州百灵,0,002424
SZ002422,科伦药业,0,002422
SZ002416,爱施德,0,002416
SZ002415,海康威视,0,002415
SZ002414,高德红外,0,002414
SZ002410,广联达,0,002410
SZ002409,雅克科技,0,002409
SZ002407,多氟多,0,002407
SZ002405,四维图新,0,002405
SZ002402,和而泰,0,002402
SZ002401,中远海科,0,002401
SZ002396,星网锐捷,0,002396
SH600078,ST澄星,1,600078
SH600072,中船科技,1,600072
SH600071,凤凰光学,1,600071
SH600066,宇通客车,1,600066
SH600062,华润双鹤,1,600062
SH600060,海信视像,1,600060
SH600059,古越龙山,1,600059
SH600057,厦门象屿,1,600057
SH600056,中国医药,1,600056
SH600055,万东医疗,1,600055
SH600054,黄山旅游,1,600054
SH600048,保利发展,1,600048
SH600039,四川路桥,1,600039
SH600038,中直股份,1,600038
SH600037,歌华有线,1,600037
SH600036,招商银行,1,600036
SH600032,浙江新能,1,600032
SH600031,三一重工,1,600031
SH600030,中信证券,1,600030
SH600026,中远海能,1,600026
SH600021,上海电力,1,600021
SH600009,上海机场,1,600009
SH600007,中国国贸,1,600007
SH600004,白云机场,1,600004
SZ000930,中粮科技,0,000930
SZ000929,兰州黄河,0,000929
SZ000923,河钢资源,0,000923
SZ000922,佳电股份,0,000922
SZ000921,海信家电,0,000921
SZ000920,沃顿科技,0,000920
SZ000915,华特达因,0,000915
SZ000913,钱江摩托,0,000913
SZ000910,大亚圣象,0,000910
SZ000909,数源科技,0,000909
SZ000906,浙商中拓,0,000906
SZ000902,新洋丰,0,000902
SZ000899,赣能股份,0,000899
SZ000895,双汇发展,0,000895
SZ000893,亚钾国际,0,000893
SZ000888,峨眉山A,0,000888
SZ000887,中鼎股份,0,000887
SZ000878,云南铜业,0,000878
SZ000877,天山股份,0,000877
SZ000876,新希望,0,000876
SZ000860,顺鑫农业,0,000860
SZ000858,五粮液,0,000858
SZ000848,承德露露,0,000848
SZ000837,秦川机床,0,000837
SZ000831,中国稀土,0,000831
SZ000830,鲁西化工,0,000830
SZ000829,天音控股,0,000829
SZ000822,山东海化,0,000822
SZ000821,京山轻机,0,000821
SZ000819,岳阳兴长,0,000819
SZ000818,航锦科技,0,000818
SZ000815,美利云,0,000815
SZ000811,冰轮环境,0,000811
SZ000810,创维数字,0,000810
SZ000807,云铝股份,0,000807
SZ000803,山高环能,0,000803
SZ000799,酒鬼酒,0,000799
SZ000798,中水渔业,0,000798
SZ000792,盐湖股份,0,000792
SZ000786,北新建材,0,000786
SZ000779,甘咨询,0,000779
SZ000776,广发证券,0,000776
SZ000768,中航西飞,0,000768
SZ000762,西藏矿业,0,000762
SZ000756,新华制药,0,000756
SZ000739,普洛药业,0,000739
SZ000738,航发控制,0,000738
SZ000736,中交地产,0,000736
SZ000733,振华科技,0,000733
SZ000731,四川美丰,0,000731
SZ000729,燕京啤酒,0,000729
SZ000723,美锦能源,0,000723
SZ000722,湖南发展,0,000722
SZ000721,西安饮食,0,000721
SZ000719,中原传媒,0,000719
SZ000716,黑芝麻,0,000716
SZ000713,丰乐种业,0,000713
SZ000708,中信特钢,0,000708
SZ000707,双环科技,0,000707
SZ000688,国城矿业,0,000688
SZ000683,远兴能源,0,000683
SZ000682,东方电子,0,000682
SZ000681,视觉中国,0,000681
SZ000672,上峰水泥,0,000672
SZ000666,经纬纺机,0,000666
SZ000663,永安林业,0,000663
SZ000661,长春高新,0,000661
SZ000657,中钨高新,0,000657
SZ000651,格力电器,0,000651
SZ000636,风华高科,0,000636
SZ000625,长安汽车,0,000625
SZ000623,吉林敖东,0,000623
SZ000615,奥园美谷,0,000615
SZ000610,西安旅游,0,000610
SZ000603,盛达资源,0,000603
SZ000596,古井贡酒,0,000596
SZ000590,启迪药业,0,000590
SZ000581,威孚高科,0,000581
SZ000576,甘化科工,0,000576
SZ000568,泸州老窖,0,000568
SZ000567,海德股份,0,000567
SZ000561,烽火电子,0,000561
SZ000555,神州信息,0,000555
SZ000550,江铃汽车,0,000550
SZ000547,航天发展,0,000547
SZ000546,金圆股份,0,000546
SZ000538,云南白药,0,000538
SZ000537,广宇发展,0,000537
SZ000532,华金资本,0,000532
SZ000529,广弘控股,0,000529
SZ000526,学大教育,0,000526
SZ000525,ST红太阳,0,000525
SZ000524,岭南控股,0,000524
SZ000519,中兵红箭,0,000519
SZ000516,国际医学,0,000516
SZ000513,丽珠集团,0,000513
SZ000503,国新健康,0,000503
SZ000501,武商集团,0,000501
SZ000430,张家界,0,000430
SZ000423,东阿阿胶,0,000423
SZ000422,湖北宜化,0,000422
SZ000411,英特集团,0,000411
SZ000408,藏格矿业,0,000408
SZ000403,派林生物,0,000403
SZ000401,冀东水泥,0,000401
SZ000400,许继电气,0,000400
SZ000338,潍柴动力,0,000338
SZ000333,美的集团,0,000333
SZ000301,东方盛虹,0,000301
SZ000155,川能动力,0,000155
SZ000153,丰原药业,0,000153
SZ000151,中成股份,0,000151
SZ000096,广聚能源,0,000096
SZ000066,中国长城,0,000066
SZ000065,北方国际,0,000065
SZ000063,中兴通讯,0,000063
SZ000050,深天马A,0,000050
SZ000049,德赛电池,0,000049
SZ000045,深纺织A,0,000045
